col,imp,imp_std
feature_11,767.0,99.42836617384398
feature_12,859.4,80.53736193014184
feature_14,1618.7,247.47302883344682
feature_15,1073.6,179.0382950966388
feature_16,799.4,91.07164456868254
feature_17,880.3,150.79054641750224
feature_18,759.2,120.13492414780976
feature_19,1024.6,199.38304842689107
feature_24,785.3,123.91220009883341
feature_25,794.2,81.49819357234585
feature_28,1155.6,194.35374392529152
feature_31,1366.5,200.40916479376222
feature_33,799.3,101.62135602322968
feature_34,1309.0,180.31084271335433
feature_35,940.3,128.9996124025185
feature_37,829.1,100.51583623157762
feature_38,1712.6,287.6472376598345
feature_41,840.6,153.28419502494197
feature_42,857.6,104.58191898114022
feature_43,886.9,154.1748286127725
feature_48,981.7,204.12362811677525
feature_5,789.1,68.77572246076372
feature_6,947.7,116.46654264446747
feature_7,909.5,163.40015639867394
feature_9,986.4,143.07822258393406
